,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Ethnic origin population","      Austrian",,      70,,      40,,      30,,    1515,,     685,,     835,
"Ethnic origin population","      Bavarian",,       0,,       0,,       0,,      10,,       0,,       0,
"Ethnic origin population","      Belgian",,      95,,      40,,      60,,    1145,,     515,,     625,
"Ethnic origin population","      Dutch",,     445,,     210,,     235,,   18350,,    9210,,    9140,
"Ethnic origin population","      Flemish",,      10,,       0,,      10,,      75,,      35,,      35,
"Ethnic origin population","      Frisian",,       0,,       0,,       0,,      70,,      40,,      30,
"Ethnic origin population","      German",,    2145,,     995,,    1150,,   41150,,   20325,,   20825,
"Ethnic origin population","      Luxembourger",,       0,,       0,,       0,,      50,,      25,,      25,
"Ethnic origin population","      Swiss",,      20,,       0,,      15,,    1665,,     765,,     895,
"Ethnic origin population","      Western European origins; n.i.e.",106,       0,,       0,,       0,,      25,,      15,,      10,
"Ethnic origin population","    Northern European origins (except British Isles origins)",,    1010,,     520,,     495,,   17935,,    8700,,    9235,
"Ethnic origin population","      Danish",,     200,,      70,,     130,,    4340,,    2085,,    2260,
"Ethnic origin population","      Finnish",,      40,,      25,,      15,,     790,,     360,,     425,
"Ethnic origin population","      Icelandic",,      65,,      50,,      20,,    1145,,     620,,     525,
"Ethnic origin population","      Norwegian",,     520,,     285,,     235,,    7770,,    3775,,    3995,
"Ethnic origin population","      Swedish",,     285,,     130,,     160,,    5115,,    2410,,    2705,
"Ethnic origin population","      Northern European origins; n.i.e.",107,      50,,      25,,      20,,     785,,     460,,     330,
"Ethnic origin population","    Eastern European origins",,    1355,,     700,,     650,,   29505,,   14260,,   15245,
"Ethnic origin population","      Bulgarian",,      10,,      10,,       0,,      75,,      45,,      25,
"Ethnic origin population","      Byelorussian",,       0,,       0,,       0,,      60,,      45,,      15,
"Ethnic origin population","      Czech",,      55,,      15,,      40,,    1845,,     900,,     945,
"Ethnic origin population","      Czechoslovakian; n.o.s.",108,      30,,      25,,      10,,    1025,,     510,,     520,
"Ethnic origin population","      Estonian",,       0,,      10,,       0,,      70,,      25,,      40,
"Ethnic origin population","      Hungarian",,     185,,      95,,      95,,    5220,,    2455,,    2760,
"Ethnic origin population","      Latvian",,       0,,       0,,       0,,      35,,      20,,      15,
"Ethnic origin population","      Lithuanian",,       0,,       0,,       0,,     275,,     135,,     145,
"Ethnic origin population","      Moldovan",,       0,,       0,,       0,,      45,,      30,,      15,
"Ethnic origin population","      Polish",,     350,,     180,,     170,,    6555,,    3020,,    3525,
"Ethnic origin population","      Romanian",,      40,,      25,,      10,,    1150,,     585,,     565,
"Ethnic origin population","      Russian",,     300,,     160,,     145,,    6670,,    3115,,    3555,
"Ethnic origin population","      Slovak",,      15,,      15,,       0,,     760,,     375,,     385,
"Ethnic origin population","      Ukrainian",,     635,,     300,,     335,,   10840,,    5345,,    5490,
"Ethnic origin population","      Eastern European origins; n.i.e.",109,       0,,       0,,       0,,      30,,      15,,      15,
"Ethnic origin population","    Southern European origins",,     360,,     165,,     200,,    7745,,    3835,,    3905,
"Ethnic origin population","      Albanian",,       0,,       0,,       0,,      70,,      45,,      20,
"Ethnic origin population","      Bosnian",,       0,,       0,,       0,,     120,,      50,,      65,
"Ethnic origin population","      Catalan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Croatian",,      25,,      20,,       0,,     700,,     345,,     355,
"Ethnic origin population","      Cypriot",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Greek",,      10,,       0,,       0,,     410,,     215,,     195,
"Ethnic origin population","      Italian",,     205,,     100,,     110,,    4450,,    2285,,    2165,
"Ethnic origin population","      Kosovar",,       0,,       0,,       0,,      50,,      20,,      30,
"Ethnic origin population","      Macedonian",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Maltese",,       0,,       0,,       0,,      50,,      35,,      10,
"Ethnic origin population","      Montenegrin",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Portuguese",,      10,,      10,,       0,,     240,,     105,,     130,
"Ethnic origin population","      Serbian",,       0,,       0,,       0,,     160,,      85,,      70,
"Ethnic origin population","      Sicilian",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Slovenian",,      10,,       0,,      10,,     225,,      90,,     135,
"Ethnic origin population","      Spanish",,     105,,      20,,      85,,    1230,,     575,,     655,
"Ethnic origin population","      Yugoslavian; n.o.s.",110,      15,,      10,,       0,,     420,,     190,,     225,
"Ethnic origin population","      Southern European origins; n.i.e.",111,       0,,       0,,       0,,      15,,      10,,      10,
"Ethnic origin population","    Other European origins",,      65,,      35,,      30,,     985,,     495,,     485,
"Ethnic origin population","      Basque",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      Jewish",,      15,,      10,,      10,,     225,,     110,,     110,
"Ethnic origin population","      Roma (Gypsy)",,       0,,       0,,       0,,      40,,      20,,      20,
"Ethnic origin population","      Slavic; n.o.s.",112,       0,,       0,,       0,,      65,,      25,,      35,
"Ethnic origin population","      Other European origins; n.i.e.",113,      45,,      30,,      25,,     660,,     340,,     315,
"Ethnic origin population","  Caribbean origins",,      25,,      10,,      10,,     425,,     220,,     205,
"Ethnic origin population","    Antiguan",,       0,,       0,,       0,,       0,,      10,,       0,
"Ethnic origin population","    Bahamian",,       0,,       0,,       0,,       0,,       0,,      10,
"Ethnic origin population","    Barbadian",,       0,,       0,,       0,,      25,,      15,,      20,
"Ethnic origin population","    Bermudan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Carib",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Cuban",,      10,,      10,,       0,,      55,,      15,,      45,
"Ethnic origin population","    Dominican",,       0,,       0,,       0,,      30,,      30,,       0,
"Ethnic origin population","    Grenadian",,      10,,      10,,       0,,       0,,      10,,       0,
"Ethnic origin population","    Guadeloupean",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Haitian",,      10,,       0,,      10,,      20,,      10,,      10,
"Ethnic origin population","    Jamaican",,       0,,       0,,       0,,     150,,      75,,      70,
"Ethnic origin population","    Kittitian/Nevisian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Martinican",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Montserratan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Puerto Rican",,       0,,       0,,       0,,      10,,       0,,      15,
"Ethnic origin population","    St. Lucian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Trinidadian/Tobagonian",,      10,,      10,,       0,,      45,,      25,,      20,
"Ethnic origin population","    Vincentian/Grenadinian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    West Indian; n.o.s.",114,       0,,       0,,       0,,      45,,      25,,      20,
"Ethnic origin population","    Caribbean origins; n.i.e.",115,       0,,       0,,       0,,      25,,      15,,      10,
"Ethnic origin population","  Latin; Central and South American origins",,     655,,     375,,     285,,    5285,,    2795,,    2495,
"Ethnic origin population","    Aboriginal from Central/South America (except Arawak and Maya)",,       0,,       0,,       0,,      85,,      45,,      45,
"Ethnic origin population","    Arawak",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Argentinian",,       0,,       0,,       0,,      55,,      20,,      25,
"Ethnic origin population","    Belizean",,      10,,      10,,      10,,      90,,      50,,      35,
"Ethnic origin population","    Bolivian",,       0,,       0,,       0,,      35,,      15,,      20,
"Ethnic origin population","    Brazilian",,       0,,       0,,       0,,      40,,      20,,      20,
"Ethnic origin population","    Chilean",,       0,,       0,,       0,,     185,,     105,,      80,
"Ethnic origin population","    Colombian",,     300,,     145,,     160,,     480,,     215,,     260,
"Ethnic origin population","    Costa Rican",,       0,,       0,,       0,,      25,,      20,,       0,
"Ethnic origin population","    Ecuadorian",,       0,,       0,,       0,,      45,,      25,,      20,
"Ethnic origin population","    Guatemalan",,       0,,       0,,       0,,      90,,      55,,      35,
"Ethnic origin population","    Guyanese",,       0,,       0,,       0,,      25,,       0,,      20,
"Ethnic origin population","    Hispanic",,      10,,       0,,       0,,     110,,      55,,      50,
"Ethnic origin population","    Honduran",,      40,,      20,,      20,,     105,,      45,,      55,
"Ethnic origin population","    Maya",,       0,,       0,,       0,,      35,,      30,,      10,
"Ethnic origin population","    Mexican",,     170,,     120,,      50,,    2895,,    1540,,    1355,
"Ethnic origin population","    Nicaraguan",,       0,,       0,,       0,,      55,,      30,,      30,
"Ethnic origin population","    Panamanian",,       0,,       0,,       0,,      20,,      10,,      10,
"Ethnic origin population","    Paraguayan",,       0,,       0,,       0,,      40,,      10,,      25,
"Ethnic origin population","    Peruvian",,       0,,       0,,       0,,      60,,      25,,      30,
"Ethnic origin population","    Salvadorean",,     100,,      65,,      35,,     765,,     445,,     320,
"Ethnic origin population","    Uruguayan",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","    Venezuelan",,       0,,       0,,       0,,      95,,      35,,      60,
"Ethnic origin population","    Latin; Central and South American origins; n.i.e.",116,      25,,      10,,      15,,     165,,      70,,      85,
"Ethnic origin population","  African origins",,    2195,,    1265,,     930,,    4470,,    2505,,    1965,
"Ethnic origin population","    Central and West African origins",,     285,,     145,,     145,,     865,,     450,,     415,
"Ethnic origin population","      Akan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Angolan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Ashanti",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Beninese",,       0,,       0,,       0,,       0,,      10,,       0,
"Ethnic origin population","      Burkinabe",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Cameroonian",,      10,,      10,,       0,,      40,,      20,,      15,
"Ethnic origin population","      Chadian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Congolese",,     150,,      65,,      85,,     225,,     110,,     110,
"Ethnic origin population","      Edo",,       0,,       0,,       0,,      15,,       0,,      10,
"Ethnic origin population","      Ewe",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Gabonese",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Gambian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Ghanaian",,       0,,       0,,       0,,     170,,      90,,      80,
"Ethnic origin population","      Guinean",,       0,,       0,,      10,,      10,,       0,,      10,
"Ethnic origin population","      Ibo",,      15,,      10,,      10,,      25,,      15,,      10,
"Ethnic origin population","      Ivorian",,      25,,      10,,      15,,      25,,      10,,      20,
"Ethnic origin population","      Liberian",,      10,,      10,,      10,,      30,,      15,,      15,
"Ethnic origin population","      Malian",,      10,,      10,,      10,,       0,,       0,,       0,
"Ethnic origin population","      Malinké",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Nigerian",,      20,,      10,,      10,,     305,,     165,,     145,
"Ethnic origin population","      Peulh",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Senegalese",,      10,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Sierra Leonean",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Togolese",,       0,,       0,,       0,,      15,,      10,,      10,
"Ethnic origin population","      Wolof",,       0,,       0,,       0,,       0,,      10,,       0,
"Ethnic origin population","      Yoruba",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Central and West African origins; n.i.e.",117,      75,,      45,,      30,,      90,,      50,,      40,
"Ethnic origin population","    North African origins",,     455,,     260,,     195,,     775,,     465,,     315,
"Ethnic origin population","      Algerian",,      15,,      10,,      10,,      60,,      35,,      25,
"Ethnic origin population","      Berber",,       0,,       0,,       0,,      30,,      10,,      20,
"Ethnic origin population","      Coptic",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Dinka",,      35,,      20,,      15,,      45,,      30,,      20,
"Ethnic origin population","      Egyptian",,      15,,      15,,       0,,     100,,      65,,      35,
"Ethnic origin population","      Libyan",,      15,,      10,,       0,,      15,,      15,,       0,
"Ethnic origin population","      Maure",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Moroccan",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Sudanese",,     350,,     200,,     160,,     550,,     325,,     225,
"Ethnic origin population","      Tunisian",,      20,,      10,,      15,,      25,,      10,,      10,
"Ethnic origin population","      North African origins; n.i.e.",118,      10,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Southern and East African origins",,    1340,,     800,,     545,,    2200,,    1285,,     915,
"Ethnic origin population","      Afrikaner",,       0,,       0,,       0,,      10,,       0,,       0,
"Ethnic origin population","      Amhara",,      10,,       0,,       0,,       0,,       0,,      10,
"Ethnic origin population","      Bantu; n.o.s.",119,      20,,      15,,       0,,      30,,      20,,      10,
"Ethnic origin population","      Burundian",,      35,,      30,,       0,,      60,,      55,,      10,
"Ethnic origin population","      Djiboutian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Eritrean",,      85,,      40,,      45,,     250,,     150,,     105,
"Ethnic origin population","      Ethiopian",,     470,,     230,,     235,,     630,,     325,,     305,
"Ethnic origin population","      Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Kenyan",,       0,,       0,,       0,,      50,,      15,,      35,
"Ethnic origin population","      Malagasy",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Mauritian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Oromo",,     100,,      50,,      50,,      95,,      50,,      50,
"Ethnic origin population","      Rwandan",,       0,,       0,,       0,,      10,,      15,,       0,
"Ethnic origin population","      Seychellois",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Somali",,     300,,     205,,      95,,     360,,     230,,     135,
"Ethnic origin population","      South African",,      10,,      10,,      10,,     280,,     155,,     125,
"Ethnic origin population","      Tanzanian",,       0,,       0,,       0,,      15,,      10,,       0,
"Ethnic origin population","      Tigrian",,      10,,      10,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Ugandan",,       0,,       0,,       0,,      25,,      10,,      10,
"Ethnic origin population","      Zambian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Zimbabwean",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      Zulu",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Southern and East African origins; n.i.e.",120,     330,,     225,,     105,,     385,,     250,,     135,
"Ethnic origin population","    Other African origins",,     140,,      75,,      70,,     705,,     345,,     360,
"Ethnic origin population","      Black; n.o.s.",121,       0,,       0,,       0,,      30,,       0,,      20,
"Ethnic origin population","      Other African origins; n.i.e.",122,     140,,      75,,      70,,     690,,     340,,     355,
"Ethnic origin population","  Asian origins",,    2475,,    1270,,    1205,,   13220,,    6570,,    6645,
"Ethnic origin population","    West Central Asian and Middle Eastern origins",,      65,,      35,,      35,,    1115,,     560,,     550,
"Ethnic origin population","      Afghan",,      25,,      20,,       0,,     265,,     130,,     135,
"Ethnic origin population","      Arab; n.o.s.",123,       0,,      10,,      10,,     115,,      55,,      60,
"Ethnic origin population","      Armenian",,      10,,       0,,      10,,      15,,       0,,      15,
"Ethnic origin population","      Assyrian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Azerbaijani",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Georgian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Hazara",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Iranian",,       0,,       0,,       0,,     190,,     100,,      90,
"Ethnic origin population","      Iraqi",,       0,,       0,,       0,,      25,,      15,,      15,
"Ethnic origin population","      Israeli",,       0,,       0,,       0,,      10,,      10,,      10,
"Ethnic origin population","      Jordanian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Kazakh",,       0,,       0,,       0,,      20,,      15,,       0,
"Ethnic origin population","      Kurd",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Kuwaiti",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Kyrgyz",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Lebanese",,      20,,       0,,      10,,     165,,      95,,      70,
"Ethnic origin population","      Palestinian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Pashtun",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Saudi Arabian",,       0,,       0,,       0,,      10,,       0,,      10,
"Ethnic origin population","      Syrian",,      20,,       0,,      15,,     190,,      85,,     100,
"Ethnic origin population","      Tajik",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Tatar",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Turk",,       0,,       0,,       0,,      45,,      25,,      25,
"Ethnic origin population","      Turkmen",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Uighur",,       0,,       0,,       0,,      20,,      10,,      15,
"Ethnic origin population","      Uzbek",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Yemeni",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      West Central Asian and Middle Eastern origins; n.i.e.",124,       0,,       0,,       0,,      60,,      30,,      30,
"Ethnic origin population","    South Asian origins",,     325,,     175,,     150,,    2815,,    1550,,    1265,
"Ethnic origin population","      Bangladeshi",,       0,,       0,,       0,,      75,,      45,,      35,
"Ethnic origin population","      Bengali",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      Bhutanese",,       0,,       0,,       0,,     575,,     280,,     295,
"Ethnic origin population","      East Indian",,     235,,     125,,     105,,    1405,,     790,,     615,
"Ethnic origin population","      Goan",,       0,,       0,,       0,,      35,,      15,,      15,
"Ethnic origin population","      Gujarati",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Kashmiri",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Nepali",,       0,,       0,,       0,,     625,,     330,,     300,
"Ethnic origin population","      Pakistani",,     105,,      60,,      45,,     220,,     130,,      95,
"Ethnic origin population","      Punjabi",,       0,,       0,,       0,,      95,,      70,,      25,
"Ethnic origin population","      Sinhalese",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Sri Lankan",,       0,,       0,,       0,,      65,,      40,,      25,
"Ethnic origin population","      Tamil",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      South Asian origins; n.i.e.",125,      10,,      10,,      10,,      25,,      15,,      10,
"Ethnic origin population","    East and Southeast Asian origins",,    2015,,    1025,,     990,,    9245,,    4440,,    4805,
"Ethnic origin population","      Burmese",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Cambodian (Khmer)",,     155,,      90,,      65,,     170,,      95,,      75,
"Ethnic origin population","      Chinese",,     310,,     140,,     165,,    2085,,     955,,    1135,
"Ethnic origin population","      Filipino",,    1385,,     705,,     680,,    3770,,    1765,,    2005,
"Ethnic origin population","      Hmong",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Indonesian",,       0,,       0,,       0,,      35,,      10,,      30,
"Ethnic origin population","      Japanese",,     110,,      75,,      35,,    2410,,    1235,,    1175,
"Ethnic origin population","      Karen",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      Korean",,      40,,      15,,      25,,     355,,     180,,     175,
"Ethnic origin population","      Laotian",,      25,,      10,,      15,,      65,,      30,,      35,
"Ethnic origin population","      Malaysian",,       0,,       0,,       0,,      15,,       0,,      10,
"Ethnic origin population","      Mongolian",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Singaporean",,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","      Taiwanese",,       0,,       0,,       0,,      15,,      10,,      10,
"Ethnic origin population","      Thai",,      40,,      15,,      25,,     120,,      25,,      95,
"Ethnic origin population","      Tibetan",,       0,,       0,,       0,,      10,,      10,,       0,
"Ethnic origin population","      Vietnamese",,      20,,      20,,       0,,     495,,     250,,     245,
"Ethnic origin population","      East and Southeast Asian origins; n.i.e.",126,       0,,       0,,       0,,       0,,       0,,       0,
"Ethnic origin population","    Other Asian origins",,      65,,      40,,      35,,     110,,      55,,      50,
"Ethnic origin population","      Other Asian origins; n.i.e.",127,      70,,      40,,      30,,     110,,      55,,      50,
"Ethnic origin population","  Oceania origins",,      15,,      10,,      10,,     700,,     340,,     355,
"Ethnic origin population","    Australian",,       0,,       0,,       0,,     335,,     160,,     175,
"Ethnic origin population","    New Zealander",,      10,,      10,,       0,,     105,,      55,,      45,
"Ethnic origin population","    Pacific Islands origins",,      10,,       0,,       0,,     270,,     130,,     145,
"Ethnic origin population","      Fijian",,       0,,       0,,       0,,      15,,      10,,      10,
"Ethnic origin population","      Hawaiian",,       0,,       0,,       0,,      20,,       0,,      15,
"Ethnic origin population","      Maori",,       0,,       0,,       0,,     110,,      60,,      50,
"Ethnic origin population","      Polynesian; n.o.s.",128,       0,,       0,,       0,,      15,,       0,,      10,
"Ethnic origin population","      Samoan",,       0,,       0,,      10,,      70,,      35,,      35,
"Ethnic origin population","      Pacific Islands origins; n.i.e.",129,       0,,       0,,       0,,      50,,      20,,      35,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,    5045,,,...,,...,   62825,,,...,,...
"Household characteristics","  Owner",,    3325,,,...,,...,   45455,,,...,,...
"Household characteristics","  Renter",,    1720,,,...,,...,   17365,,,...,,...
"Household characteristics","  Band housing",,       0,,,...,,...,       0,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,    5045,,,...,,...,   62820,,,...,,...
"Household characteristics","  Condominium",,     405,,,...,,...,    5215,,,...,,...
"Household characteristics","  Not condominium",,    4640,,,...,,...,   57610,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,    5045,,,...,,...,   62825,,,...,,...
"Household characteristics","  No bedrooms",,       0,,,...,,...,     180,,,...,,...
"Household characteristics","  1 bedroom",,     315,,,...,,...,    4060,,,...,,...
"Household characteristics","  2 bedrooms",,    1085,,,...,,...,   13145,,,...,,...
"Household characteristics","  3 bedrooms",,    1610,,,...,,...,   19420,,,...,,...
"Household characteristics","  4 or more bedrooms",,    2035,,,...,,...,   26015,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,    5050,,,...,,...,   62825,,,...,,...
"Household characteristics","  1 to 4 rooms",,    1185,,,...,,...,   11285,,,...,,...
"Household characteristics","  5 rooms",,     905,,,...,,...,    9045,,,...,,...
"Household characteristics","  6 rooms",,     695,,,...,,...,    8740,,,...,,...
"Household characteristics","  7 rooms",,     625,,,...,,...,    9060,,,...,,...
"Household characteristics","  8 or more rooms",,    1630,,,...,,...,   24690,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  6.4,,,...,,...,  6.9,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,    5050,,,...,,...,   62825,,,...,,...
"Household characteristics","  One person or fewer per room",,    4845,,,...,,...,   61815,,,...,,...
"Household characteristics","  More than 1 person per room",,     205,,,...,,...,    1010,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,    5050,,,...,,...,   62825,,,...,,...
"Household characteristics","  Suitable",,    4655,,,...,,...,   60515,,,...,,...
"Household characteristics","  Not suitable",,     390,,,...,,...,    2305,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,    5045,,,...,,...,   62820,,,...,,...
"Household characteristics","  1960 or before",,     430,,,...,,...,   12215,,,...,,...
"Household characteristics","  1961 to 1980",,    2190,,,...,,...,   19010,,,...,,...
"Household characteristics","  1981 to 1990",,     520,,,...,,...,    7250,,,...,,...
"Household characteristics","  1991 to 2000",,     885,,,...,,...,    8200,,,...,,...
"Household characteristics","  2001 to 2005",,     510,,,...,,...,    5005,,,...,,...
"Household characteristics","  2006 to 2010",,     390,,,...,,...,    6360,,,...,,...
"Household characteristics","  2011 to 2016",137,     125,,,...,,...,    4785,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,    5045,,,...,,...,   62825,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,    4780,,,...,,...,   59050,,,...,,...
"Household characteristics","  Major repairs needed",,     265,,,...,,...,    3775,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,    5050,,,...,,...,   62820,,,...,,...
"Household characteristics","  1 household maintainer",,    3000,,,...,,...,   37115,,,...,,...
"Household characteristics","  2 household maintainers",,    1790,,,...,,...,   23970,,,...,,...
"Household characteristics","  3 or more household maintainers",,     260,,,...,,...,    1740,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,    5045,,,...,,...,   62825,,,...,,...
"Household characteristics","  15 to 24 years",,     185,,,...,,...,    3400,,,...,,...
"Household characteristics","  25 to 34 years",,     965,,,...,,...,   11000,,,...,,...
"Household characteristics","  35 to 44 years",,    1335,,,...,,...,   11020,,,...,,...
"Household characteristics","  45 to 54 years",,    1000,,,...,,...,   11210,,,...,,...
"Household characteristics","  55 to 64 years",,     820,,,...,,...,   11815,,,...,,...
"Household characteristics","  65 to 74 years",,     480,,,...,,...,    8330,,,...,,...
"Household characteristics","  75 to 84 years",,     200,,,...,,...,    4540,,,...,,...
"Household characteristics","  85 years and over",,      60,,,...,,...,    1520,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,    5035,,,...,,...,   60770,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,    4085,,,...,,...,   48715,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,     950,,,...,,...,   12055,,,...,,...
"Household characteristics","    30% to less than 100%",,     890,,,...,,...,   10920,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,    3325,,,...,,...,   43755,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 66.9,,,...,,..., 61.3,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 13.7,,,...,,..., 13.3,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1257,,,...,,...,    1126,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1253,,,...,,...,    1202,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  259772,,,...,,...,  285025,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  275591,,,...,,...,  317250,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",,    1720,,,...,,...,   17225,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 15.4,,,...,,..., 11.7,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 28.9,,,...,,..., 36.6,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,     989,,,...,,...,    1000,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1030,,,...,,...,    1019,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,   10710,,    5605,,    5105,,  128390,,   63975,,   64410,
